,R_odds,B_odds,R_ev,B_ev,Winner,title_bout,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
3020,-500.0,400,20.0,400.0,0,False,3,2,0,0,16.66666667,0.32666666699999997,2.0,0.666666667,0.333333333,1,2,6,0,0,0,0,0,1,0,1,0,162.56,162.56,125,2,0,0,31.25,0.6675,0.75,4.0,0.72,2,2,9,0,0,0,1,1,0,0,2,1,170.18,167.64,125,23,30,0,0,-1,-1,0,-3,0,-1,1,-7.62,-5.08,-7,-14.58333333,1.25,-3.333333333,2,135.0,605.0,750.0,1125.0,169.0,2500.0
3045,-980.0,640,10.20408163,640.0,0,True,5,0,4,0,42.5,0.54,0.0,1.0,0.4575,4,0,9,0,0,0,2,2,0,0,4,0,165.1,167.64,125,0,7,0,65.18181818,0.527272727,0.454545455,3.727272727,0.445454545,7,2,40,7,0,1,5,1,2,0,9,0,160.02,167.64,125,28,24,0,-3,-3,-5,2,-31,-7,1,-2,5.08,0.0,4,-22.68181818,-0.454545455,-2.727272727,0,130.0,1250.0,140.0,2300.0,600.0,825.0
3105,600.0,-750,600.0,13.33333333,1,False,3,0,1,0,72.0,0.49,0.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,0,162.56,162.56,135,1,0,0,48.36363636,0.42909090899999996,0.545454545,0.9090909090000001,0.355454545,3,4,31,1,0,2,4,1,0,0,7,1,160.02,160.02,125,33,28,1,1,-2,-6,4,-28,-1,-1,0,2.54,2.54,5,23.63636364,-0.545454545,-0.9090909090000001,0,750.0,-155.0,1350.0,1200.0,1250.0,285.0
3110,-660.0,540,15.15151515,540.0,1,False,3,1,0,0,18.0,0.28,1.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,0,165.1,172.72,125,0,2,0,65.5,0.4125,1.25,0.75,0.25,2,1,12,0,0,0,3,0,0,0,3,0,167.64,175.26,135,21,25,-1,-2,-2,-3,0,-10,0,0,0,-2.54,-2.54,-4,-47.5,-0.25,-0.75,2,275.0,990.0,215.0,1970.0,160.0,1275.0
3139,-975.0,775,10.25641026,775.0,0,False,3,0,1,0,50.0,0.58,1.0,2.0,0.4,1,0,3,0,0,0,1,0,0,0,1,0,170.18,172.72,125,0,1,0,7.0,0.55,2.0,3.0,0.81,1,1,4,0,0,0,0,0,1,0,1,0,162.56,160.02,135,21,33,0,0,0,0,1,-1,0,0,-1,7.62,12.7,-12,43.0,-1.0,-1.0,2,198.0,1262.0,-130.0,2000.0,1040.0,1520.0
3142,110.0,-120,110.0,83.33333333,0,False,3,2,0,0,59.0,0.502,1.4,3.6,0.6,2,3,13,0,0,0,2,0,0,0,2,1,170.18,167.64,135,1,0,0,28.33333333,0.39666666700000003,0.333333333,4.0,0.436666667,2,1,9,0,0,0,2,0,0,0,2,1,162.56,162.56,125,31,28,-1,0,0,0,-2,4,0,0,0,7.62,5.08,3,30.66666667,1.066666667,-0.4,0,160.0,158.0,667.0,610.0,2000.0,700.0
3150,-220.0,200,45.45454545,200.0,1,False,3,0,1,0,60.28571429,0.422857143,0.28571428600000004,0.571428571,0.214285714,4,2,16,0,0,0,1,4,0,0,5,0,160.02,170.18,135,0,2,0,61.2,0.414,0.0,2.0,0.28,2,3,15,0,0,0,2,0,0,0,2,0,165.1,162.56,125,30,24,0,-1,2,3,1,1,0,4,0,-5.08,7.62,6,-0.91428571,0.28571428600000004,-1.428571429,0,125.0,400.0,450.0,2365.0,475.0,625.0
3165,178.0,-215,178.0,46.51162791,0,False,3,0,2,0,32.0,0.37,0.5,1.5,0.375,2,0,5,0,0,0,1,1,0,0,2,0,170.18,175.26,125,0,1,0,53.5,0.405,0.0,1.0,0.5,1,1,6,0,0,0,1,0,0,0,1,0,162.56,162.56,125,35,29,0,1,1,1,1,-1,0,1,0,7.62,12.7,6,-21.5,0.5,0.5,2,328.0,105.0,1481.0,1045.0,645.0,435.0
3173,-345.0,315,28.98550725,315.0,0,False,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,172.72,175.26,125,1,0,0,18.0,0.455,0.5,1.5,0.25,1,1,4,0,0,0,0,0,1,0,1,0,177.8,175.26,125,26,31,0,0,-1,-1,0,-3,0,0,-1,-5.08,0.0,-5,-18.0,-0.5,-1.5,2,375.0,465.0,-120.0,965.0,483.0,855.0
3177,210.0,-230,210.0,43.47826087,1,False,3,1,0,0,20.0,0.23,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,0,167.64,172.72,135,1,0,0,41.0,0.36,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,0,170.18,165.1,125,28,23,0,0,0,0,0,0,0,0,0,-2.54,7.62,5,-21.0,0.0,0.0,2,190.0,167.0,1990.0,454.0,1150.0,535.0
