,R_odds,B_odds,R_ev,B_ev,Winner,title_bout,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
4058,-190.0,175,52.63157895,175.0,1,True,5,0,1,0,36.44444444,0.601111111,0.222222222,1.7777777780000001,0.494444444,7,1,13,2,0,0,1,7,0,0,8,0,185.42,195.58,240,0,9,0,45.33333333,0.545555556,0.0,0.333333333,0.166666667,9,0,16,2,0,0,2,7,0,0,9,0,193.04,195.58,238,28,30,0,-8,-2,-1,-1,-3,0,0,0,-7.62,0.0,-2,-8.88888889,0.222222222,1.444444445,2,638.0,865.0,1325.0,1750.0,-121.0,254.0
4070,-185.0,170,54.05405405,170.0,0,False,5,1,0,0,34.66666667,0.52,0.666666667,0.0,0.0,5,1,13,0,0,0,1,4,0,0,5,2,190.5,200.66,265,0,1,0,19.71428571,0.415714286,0.14285714300000002,0.428571429,0.214285714,2,3,15,1,0,0,0,4,0,0,4,0,182.88,182.88,263,36,34,-1,-1,3,1,2,-2,-1,0,0,7.62,17.78,2,14.95238096,0.523809524,-0.428571429,2,310.0,325.0,700.0,2575.0,125.0,450.0
4072,220.0,-240,220.0,41.66666667,0,False,3,1,0,0,32.0,0.65,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,1,193.04,200.66,250,1,0,0,19.33333333,0.535555556,0.111111111,0.0,0.0,1,5,15,0,0,0,1,3,0,0,4,0,180.34,187.96,235,33,29,0,0,-1,-4,4,-13,0,-3,0,12.7,12.7,4,12.66666667,-0.111111111,0.0,2,1003.0,1006.0,1490.0,180.0,300.0,171.0
4122,-210.0,190,47.61904762,190.0,0,False,3,2,0,0,36.33333333,0.54,0.0,0.333333333,0.333333333,1,2,5,0,0,0,0,1,0,0,1,0,193.04,193.04,242,1,0,0,22.71428571,0.387142857,1.0,0.857142857,0.14,2,3,14,2,0,0,2,1,1,0,4,0,190.5,195.58,240,36,28,-1,0,-1,-3,1,-9,-2,0,-1,2.54,-2.54,8,13.61904762,-1.0,-0.523809524,2,472.0,940.0,250.0,1369.0,165.0,320.0
4133,-185.0,170,54.05405405,170.0,1,False,5,1,0,0,1.0,0.5,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,193.04,203.2,264,0,3,0,21.4,0.434,0.4,1.4,0.632,3,1,9,0,0,0,1,2,1,0,4,0,198.12,200.66,255,30,33,-1,-3,-3,-4,0,-8,0,-2,-1,-5.08,2.54,-3,-20.4,-0.4,-1.4,2,1358.0,592.0,1750.0,547.0,-170.0,450.0
4143,155.0,-165,155.0,60.60606061,0,False,5,0,3,0,36.0,0.44,0.0,2.0,0.523333333,3,0,6,0,0,0,1,2,0,0,3,0,193.04,203.2,240,0,3,0,16.54545455,0.435454545,1.636363636,0.272727273,0.272727273,3,3,17,0,1,0,0,3,4,0,8,0,210.82,213.36,265,24,30,0,0,0,-5,3,-11,0,-1,-4,-17.78,-10.16,-6,19.45454545,-1.636363636,1.727272727,2,1005.0,1123.0,295.0,2675.0,628.0,-135.0
4186,-125.0,115,80.0,115.0,0,False,3,0,1,0,64.0,0.56,0.0,0.0,0.0,1,0,2,0,0,0,0,1,0,0,1,1,182.88,190.5,260,1,0,0,33.25,0.56875,0.1875,1.5,0.4525,3,6,33,0,1,0,2,6,0,1,10,0,193.04,208.28,240,37,27,1,1,-2,-9,6,-31,0,-6,0,-10.16,-17.78,10,30.75,-0.1875,-1.5,2,399.0,620.0,1500.0,1050.0,205.0,170.0
4259,-475.0,420,21.05263158,420.0,0,True,5,0,3,0,12.36842105,0.518947368,1.052631579,1.0,0.343157895,4,5,28,4,0,0,2,3,8,0,14,1,190.5,200.66,264,0,8,0,43.625,0.53125,0.0,0.375,0.1875,8,0,14,1,0,0,2,6,0,0,8,0,193.04,195.58,238,28,33,0,-5,-4,6,-5,14,3,-3,8,-2.54,5.08,-5,-31.25657895,1.052631579,0.625,2,1260.0,874.0,3450.0,600.0,-380.0,2630.0
4261,-162.0,152,61.72839506,152.0,0,False,3,1,0,0,53.0,0.625,0.0,0.5,0.5,1,1,4,0,0,0,0,1,0,0,1,0,193.04,193.04,242,1,0,0,22.66666667,0.40166666700000003,0.166666667,0.5,0.25,2,3,14,1,0,0,0,3,0,0,3,0,182.88,182.88,263,35,27,0,0,-1,-2,2,-10,-1,-2,0,10.16,10.16,8,30.33333333,-0.166666667,0.0,2,375.0,400.0,522.0,1085.0,170.0,475.0
4263,-130.0,120,76.92307692,120.0,0,False,3,0,2,0,52.0,0.62,0.0,0.0,0.0,2,0,2,0,0,0,0,2,0,0,2,0,193.04,208.28,240,0,2,0,18.2,0.479,1.7,0.3,0.3,3,3,16,0,1,0,0,3,3,0,7,0,210.82,213.36,265,24,34,0,0,-1,-5,3,-14,0,-1,-3,-17.78,-5.08,-10,33.8,-1.7,-0.3,2,1700.0,2500.0,105.0,2625.0,689.0,135.0
4286,-150.0,140,66.66666667,140.0,1,False,3,0,1,0,65.0,0.7,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,0,193.04,208.28,240,0,1,0,19.875,0.5175,0.0,0.0,0.0,1,4,14,0,0,0,1,3,0,0,4,0,180.34,187.96,235,32,34,0,0,0,-3,4,-13,0,-2,0,12.7,20.32,-2,45.125,0.0,0.0,2,695.0,1550.0,600.0,1700.0,120.0,170.0
