,R_odds,B_odds,R_ev,B_ev,Winner,title_bout,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
557,104.0,-129,104.0,77.51937984,1,False,3,0,0,0,3.0,0.28,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,187.96,195.58,205,1,0,0,2.75,0.29,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,0,185.42,185.42,225,36,28,-1,0,0,0,-1,-2,0,0,0,2.54,10.16,-8,0.25,0.0,0.0,2,700.0,450.0,2500.0,700.0,155.0,175.0
590,-190.0,150,52.63157895,150.0,0,False,3,1,0,0,2.39,0.34,0.8,0.67,0.44,7,8,57,0,0,3,4,8,4,0,19,1,187.96,190.5,205,0,1,1,3.63,0.5,0.8,2.17,0.48,8,11,76,4,0,1,3,21,1,0,26,0,185.42,193.04,205,38,44,1,-1,-1,-7,-3,-19,-4,-13,3,2.54,-2.54,6,-1.24,0.0,-1.5,0,275.0,500.0,900.0,550.0,110.0,375.0
593,-137.0,110,72.99270073,110.0,0,False,3,2,0,0,2.32,0.51,3.5,8.7,0.41,2,2,4,0,0,0,0,0,2,0,2,0,180.34,177.8,205,0,1,1,2.33,0.48,1.5,1.65,0.21,1,4,18,0,0,0,0,0,4,0,4,0,190.5,193.04,205,32,33,2,-1,1,-2,-2,-14,0,0,-2,-10.16,-15.24,1,-0.01,2.0,7.05,2,525.0,650.0,240.0,350.0,350.0,325.0
609,-167.0,135,59.88023952,135.0,0,False,3,2,0,0,5.23,0.52,0.0,1.67,0.3,0,2,6,0,0,0,0,0,0,0,0,0,190.5,198.12,205,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,187.96,193.04,205,32,25,2,0,0,0,2,6,0,0,0,2.54,5.08,-7,5.23,0.0,1.67,2,350.0,400.0,800.0,800.0,160.0,450.0
623,-177.0,140,47.61904762,165.0,0,False,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,182.88,185,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,190.5,190.5,205,26,31,0,0,0,0,0,0,0,0,0,-7.62,-7.62,5,0.0,0.0,0.0,2,375.0,550.0,900.0,1000.0,120.0,300.0
632,-159.0,129,62.89308176,129.0,1,False,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,193.04,193.04,205,0,2,0,4.88,0.45,0.0,0.39,0.22,3,3,18,1,0,2,0,3,0,0,5,0,187.96,190.5,205,30,27,0,-2,-3,-5,-3,-18,-1,-3,0,5.08,2.54,-3,-4.88,0.0,-0.39,0,325.0,400.0,1500.0,1200.0,135.0,250.0
683,-225.0,185,44.44444444,185.0,1,False,3,0,1,0,3.12,0.55,0.1,3.03,0.42,2,4,21,0,0,0,5,0,0,0,5,0,182.88,190.5,205,0,2,0,5.07,0.48,0.0,0.0,0.0,2,0,2,0,0,0,0,2,0,0,2,0,182.88,193.04,205,32,30,0,-1,0,3,4,19,0,-2,0,0.0,-2.54,-2,-1.95,0.1,3.03,2,900.0,400.0,1600.0,2050.0,-145.0,500.0
692,-117.0,-103,85.47008547,97.08737864,0,False,3,1,0,0,2.02,0.39,0.0,0.67,0.2,1,2,9,0,0,0,1,0,0,0,1,0,182.88,187.96,205,0,1,0,7.92,0.52,0.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,1,193.04,200.66,205,29,27,1,-1,0,0,2,6,0,0,0,-10.16,-12.7,-2,-5.9,0.0,0.67,2,140.0,430.0,4665.0,275.0,400.0,765.0
707,-175.0,155,57.14285714,155.0,1,False,5,0,3,0,3.41,0.44,1.0,2.0,0.38,8,6,46,1,0,1,2,7,6,0,16,0,187.96,193.04,205,0,1,0,3.06,0.47,0.8,0.41,0.26,3,6,37,1,0,0,1,6,3,0,10,0,193.04,193.04,205,31,40,0,2,5,6,0,9,0,1,3,-5.08,0.0,9,0.35,0.2,1.59,0,475.0,724.0,700.0,455.0,124.0,490.0
719,-420.0,335,23.80952381,335.0,0,False,3,3,0,0,3.05,0.44,0.1,0.09,0.16,4,8,38,0,0,2,2,5,1,0,10,1,187.96,190.5,205,0,3,0,3.26,0.43,2.4,0.6,0.33,3,0,6,0,0,0,1,1,1,0,3,0,195.58,200.66,205,28,34,-3,-3,1,7,-8,32,0,4,0,-7.62,-10.16,-6,-0.21,-2.3,-0.51,2,225.0,945.0,385.0,2000.0,155.0,525.0
732,-137.0,127,72.99270073,127.0,1,False,3,1,0,0,4.86,0.57,1.9,1.06,0.38,5,5,20,0,0,0,0,3,4,0,7,0,190.5,195.58,205,1,0,0,5.17,0.69,2.3,0.75,1.0,3,1,4,0,0,0,0,3,0,0,3,0,198.12,208.28,205,27,28,0,0,2,4,-4,16,0,0,4,-7.62,-12.7,-1,-0.31,-0.4,0.31,0,700.0,800.0,800.0,360.0,125.0,310.0
753,185.0,-225,185.0,44.44444444,1,False,3,0,3,0,3.32,0.56,0.0,0.69,0.33,3,1,10,0,0,0,1,2,0,0,3,0,190.5,190.5,205,0,1,0,5.27,0.39,0.0,2.62,0.71,2,3,14,0,0,0,1,3,0,0,4,1,185.42,190.5,205,26,27,0,2,1,-1,2,-4,0,-1,0,5.08,0.0,-1,-1.95,0.0,-1.93,2,1200.0,205.0,1400.0,600.0,245.0,250.0
764,100.0,-120,100.0,83.33333333,0,False,3,1,0,0,5.39,0.56,0.0,1.2,0.66,2,1,7,0,0,0,0,2,0,0,2,1,182.88,187.96,205,1,0,0,4.56,0.57,2.3,0.58,1.0,2,1,5,0,0,0,0,1,1,0,2,0,187.96,187.96,205,23,25,0,0,0,0,0,2,0,1,-1,-5.08,0.0,-2,0.83,-2.3,0.62,2,340.0,450.0,450.0,1800.0,500.0,160.0
780,-350.0,290,28.57142857,290.0,0,False,3,0,1,0,2.33,0.48,1.5,1.65,0.21,1,3,13,0,0,0,0,0,3,0,3,0,190.5,193.04,205,0,1,0,5.07,0.48,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,0,182.88,193.04,205,31,31,0,0,0,2,-3,12,0,-1,3,7.62,0.0,0,-2.74,1.5,1.65,2,450.0,900.0,1200.0,500.0,-175.0,800.0
782,-300.0,250,33.33333333,250.0,0,False,3,1,0,0,2.79,0.6,1.7,2.61,0.18,0,1,1,0,0,0,0,0,0,0,0,0,193.04,193.04,205,3,0,0,3.06,0.45,0.1,1.51,0.4,2,4,21,0,0,0,1,2,0,0,3,1,185.42,190.5,205,32,30,2,0,-2,-3,3,-20,0,-2,0,7.62,2.54,2,-0.27,1.6,1.1,2,275.0,650.0,1400.0,500.0,-120.0,1215.0
784,-420.0,335,23.80952381,335.0,0,False,3,0,0,0,1.15,0.35,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,190.5,200.66,205,0,0,0,1.79,0.55,0.0,2.83,0.5,0,0,0,0,0,0,0,0,0,0,0,0,172.72,193.04,205,31,33,0,0,0,0,0,0,0,0,0,17.78,7.62,-2,-0.64,0.0,-2.83,2,320.0,1100.0,800.0,1155.0,-110.0,495.0
798,-670.0,485,14.92537313,485.0,0,True,5,0,4,0,4.44,0.47,0.1,0.83,0.4,4,5,32,0,0,0,2,11,0,0,13,0,187.96,193.04,205,0,15,0,4.3,0.57,0.4,1.85,0.44,15,1,63,13,0,0,8,5,5,0,18,0,193.04,213.36,205,31,35,0,-11,-11,-5,-4,-31,-13,6,-5,-5.08,-20.32,-4,0.14,-0.3,-1.02,0,450.0,2500.0,200.0,2500.0,125.0,500.0
