,R_odds,B_odds,R_ev,B_ev,Winner,title_bout,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
1737,-375.0,313,26.66666667,313.0,0,False,3,0,1,0,18.5,0.285,0.0,0.0,0.0,1,3,6,0,0,0,0,1,0,0,1,0,177.8,182.88,155,0,1,0,30.0,0.6033333329999999,0.333333333,1.166666667,0.46666666700000003,2,2,13,0,0,0,2,1,1,0,4,0,182.88,180.34,170,21,30,0,0,-1,-3,-1,-7,0,0,-1,-5.08,2.54,-9,-11.5,-0.333333333,-1.166666667,2,256.0,550.0,380.0,750.0,135.0,825.0
1738,-175.0,155,57.14285714,155.0,1,False,3,0,1,0,27.6,0.41200000000000003,0.6,0.2,0.2,2,2,10,0,0,0,1,1,1,0,3,0,175.26,187.96,155,0,2,0,84.0,0.515,0.0,3.0,0.47,2,0,5,0,0,0,1,1,0,0,2,0,175.26,172.72,155,29,33,0,-1,0,1,-2,5,0,0,1,0.0,15.24,-4,-56.4,0.6,-2.8,2,129.0,340.0,1650.0,425.0,357.0,1100.0
1749,115.0,-135,115.0,74.07407407,1,False,3,0,2,0,34.0,0.5425,0.0,1.5,0.415,2,2,10,0,0,0,1,1,0,0,2,0,180.34,177.8,155,2,0,0,39.2,0.43200000000000005,0.6,0.6,0.122,2,3,11,0,0,1,0,1,0,0,2,0,177.8,172.72,155,33,29,2,2,0,0,1,-1,0,0,0,2.54,5.08,4,-5.2,-0.6,0.9,2,201.0,225.0,1155.0,724.0,600.0,345.0
1753,-160.0,140,62.5,140.0,0,False,3,1,0,0,54.2,0.384,0.0,1.8,0.45,1,4,15,0,0,0,1,0,0,0,1,0,170.18,170.18,155,4,0,0,41.95652174,0.421304348,0.0,0.6521739129999999,0.347826087,3,12,59,1,0,2,4,4,0,1,11,0,172.72,175.26,155,33,36,3,0,-2,-10,8,-44,-1,-5,0,-2.54,-5.08,-3,12.24347826,0.0,1.147826087,2,-101.0,240.0,1200.0,1655.0,799.0,490.0
1758,-120.0,100,83.33333333,100.0,0,False,3,1,0,0,52.0,0.435,0.0,1.0,0.5,1,1,6,0,0,1,0,0,0,0,1,1,177.8,185.42,155,0,5,0,33.55555556,0.491111111,0.333333333,3.888888889,0.434444444,5,2,25,0,0,2,3,0,2,0,7,0,167.64,170.18,170,36,28,-1,-5,-4,-6,1,-19,0,0,-2,10.16,15.24,8,18.44444444,-0.333333333,-2.888888889,2,145.0,210.0,450.0,1400.0,1200.0,525.0
1763,-240.0,200,41.66666667,200.0,0,False,3,0,1,0,12.5,0.355,0.0,0.0,0.0,1,1,4,0,0,0,0,1,0,0,1,0,175.26,177.8,155,0,2,0,21.0,0.48,0.4,2.6,0.402,2,1,12,0,0,0,3,1,0,0,4,1,180.34,187.96,155,34,31,0,-1,-1,-3,0,-8,0,0,0,-5.08,-10.16,3,-8.5,-0.4,-2.6,2,-110.0,550.0,650.0,1400.0,550.0,400.0
1769,425.0,-550,425.0,18.18181818,1,False,3,0,3,0,23.0,0.48666666700000005,0.333333333,3.0,0.306666667,3,0,6,0,0,0,1,1,1,0,3,0,170.18,180.34,155,0,1,0,12.0,0.405,1.0,1.0,0.14,1,1,4,0,0,0,0,0,1,0,1,0,177.8,182.88,145,30,31,0,2,2,2,1,2,0,1,0,-7.62,-2.54,-1,11.0,-0.666666667,2.0,2,850.0,115.0,1200.0,450.0,1200.0,235.0
1771,155.0,-175,155.0,57.14285714,1,False,3,4,0,0,55.875,0.465,0.125,0.625,0.22875,4,4,20,0,0,1,1,1,1,0,4,0,177.8,180.34,155,1,0,0,17.75,0.3725,0.75,0.25,0.0625,2,4,16,0,0,0,1,2,1,0,4,1,177.8,180.34,155,29,31,-3,0,2,0,0,4,0,-1,0,0.0,0.0,-2,38.125,-0.625,0.375,2,285.0,175.0,750.0,1100.0,575.0,315.0
1776,110.0,-130,110.0,76.92307692,0,False,3,0,3,0,31.66666667,0.443333333,0.333333333,0.0,0.0,3,0,7,0,0,2,0,1,0,0,3,0,172.72,175.26,155,0,3,0,30.0,0.385,0.25,4.0,0.345,3,1,8,0,0,0,2,1,0,0,3,0,177.8,182.88,155,35,28,0,0,0,0,1,-1,0,0,0,-5.08,-7.62,7,1.66666667,0.083333333,-4.0,2,225.0,225.0,700.0,541.0,425.0,525.0
1789,-290.0,245,34.48275862,245.0,0,False,3,2,0,0,21.96153846,0.355769231,0.653846154,3.230769231,0.515769231,3,10,63,0,0,5,6,1,4,0,16,1,177.8,180.34,155,0,2,0,22.75,0.5675,0.75,3.0,0.65,2,1,9,0,0,0,2,0,1,0,3,0,177.8,177.8,155,26,34,-2,-2,1,13,-9,54,0,1,3,0.0,2.54,-8,-0.78846154,-0.096153846,0.23076923100000002,2,-125.0,348.0,1065.0,1500.0,425.0,1400.0
1794,-180.0,158,55.55555556,158.0,0,False,3,0,1,0,44.33333333,0.428333333,0.166666667,0.666666667,0.125,1,3,15,0,0,0,1,2,0,0,3,1,182.88,180.34,155,0,3,0,56.0,0.46625,0.5,0.5,0.205,3,3,18,0,0,0,2,1,2,0,5,0,187.96,185.42,170,31,29,0,-2,-2,-2,0,-3,0,1,-2,-5.08,-5.08,2,-11.66666667,-0.333333333,0.166666667,2,165.0,275.0,450.0,1000.0,575.0,550.0
1802,-410.0,330,24.390243899999998,330.0,0,False,3,0,3,0,41.58823529,0.448235294,0.058823529000000006,0.41176470600000004,0.215294118,4,4,40,0,1,1,5,6,0,0,13,0,180.34,190.5,155,0,8,0,45.5,0.51375,0.5,4.875,0.38,8,0,21,0,0,0,4,2,2,0,8,0,177.8,177.8,155,29,31,0,-5,-4,5,-4,19,0,4,-2,2.54,12.7,-2,-3.91176471,-0.441176471,-4.4632352939999995,0,180.0,500.0,268.0,1600.0,365.0,400.0
1803,165.0,-190,165.0,52.63157895,0,False,3,0,3,0,21.0,0.5066666670000001,0.0,2.333333333,0.48666666700000005,3,0,6,0,0,0,1,2,0,0,3,0,177.8,185.42,155,0,1,0,38.85714286,0.45,0.14285714300000002,0.14285714300000002,0.047142857,1,3,15,0,0,0,0,3,1,0,4,2,182.88,190.5,155,27,24,0,2,2,-1,3,-9,0,-1,-1,-5.08,-5.08,3,-17.85714286,-0.14285714300000002,2.19047619,2,300.0,160.0,800.0,1400.0,700.0,225.0
1817,125.0,-145,125.0,68.96551724,0,False,3,1,0,0,24.4,0.37200000000000005,0.3,1.4,0.5429999999999999,3,4,21,0,0,0,1,3,1,0,6,0,172.72,177.8,155,1,0,0,57.07692308,0.489230769,0.0,0.0,0.0,3,6,30,0,0,1,3,3,0,0,7,0,172.72,172.72,155,32,34,0,0,0,-1,2,-9,0,0,1,0.0,5.08,-2,-32.67692308,0.3,1.4,2,2200.0,275.0,1600.0,700.0,420.0,215.0
1823,-145.0,125,68.96551724,125.0,0,False,3,0,1,0,21.5,0.35,1.0,0.0,0.0,1,1,5,0,0,1,0,0,0,0,1,1,177.8,177.8,155,0,1,0,66.2,0.498,0.4,2.2,0.596,1,2,15,0,0,0,2,0,1,0,3,0,175.26,175.26,155,34,30,0,0,0,-2,1,-10,0,0,-1,2.54,2.54,4,-44.7,0.6,-2.2,2,140.0,215.0,1200.0,1200.0,525.0,500.0
1831,325.0,-400,325.0,25.0,1,False,3,1,0,0,35.0,0.28,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,0,167.64,177.8,155,1,0,0,65.5,0.605,0.0,0.0,0.0,1,1,5,0,0,0,1,0,0,0,1,0,172.72,172.72,155,31,31,0,0,-1,-1,0,-2,0,0,0,-5.08,5.08,0,-30.5,0.0,0.0,2,538.0,139.0,1750.0,200.0,1070.0,616.0
1836,150.0,-170,150.0,58.82352941,0,False,3,0,1,0,104.0,0.59,0.0,0.0,0.0,1,0,2,0,0,0,0,1,0,0,1,0,180.34,177.8,155,2,0,0,36.5,0.4,0.0,1.8333333330000001,0.208333333,3,3,14,2,0,2,0,1,0,0,3,0,175.26,175.26,155,33,29,2,1,-2,-2,3,-12,-2,0,0,5.08,2.54,4,67.5,0.0,-1.8333333330000001,0,385.0,350.0,1150.0,1000.0,400.0,100.0
1838,-135.0,115,74.07407407,115.0,1,False,3,0,2,0,39.66666667,0.44,0.333333333,0.333333333,0.166666667,2,3,22,0,0,1,1,3,1,0,6,0,180.34,177.8,155,0,1,0,22.05555556,0.513888889,1.277777778,1.333333333,0.435,4,8,34,0,0,0,1,0,9,0,10,0,177.8,187.96,155,28,33,0,1,-2,-4,5,-12,0,3,-8,2.54,-10.16,-5,17.61111111,-0.944444445,-1.0,2,465.0,475.0,160.0,1200.0,811.0,150.0
1840,-130.0,110,76.92307692,110.0,0,False,3,0,1,0,68.0,0.61,0.0,2.0,1.0,1,0,3,0,0,0,1,0,0,0,1,0,175.26,177.8,155,0,3,0,51.33333333,0.496666667,0.0,1.0,0.42666666700000005,3,0,7,0,0,0,1,2,0,0,3,1,175.26,185.42,155,28,29,0,-2,-2,-2,0,-4,0,-2,0,0.0,-7.62,-1,16.66666667,0.0,1.0,2,175.0,235.0,800.0,1400.0,240.0,800.0
1875,345.0,-430,345.0,23.25581395,0,False,3,2,0,0,33.33333333,0.7566666670000001,0.0,1.6666666669999999,0.22,1,2,7,0,0,0,1,0,0,0,1,0,177.8,182.88,155,1,0,0,40.27777778,0.523333333,1.166666667,3.277777778,0.34833333299999997,4,7,49,0,0,2,6,2,1,0,11,0,172.72,172.72,155,33,31,-1,0,-3,-10,5,-42,0,-2,-1,5.08,10.16,2,-6.94444445,-1.166666667,-1.611111111,2,600.0,-150.0,1500.0,675.0,1350.0,385.0
1881,-110.0,-110,90.90909091,90.90909091,0,False,5,0,1,0,37.08333333,0.47166666700000004,0.333333333,0.583333333,0.096666667,5,5,31,4,0,1,1,2,3,0,7,0,177.8,182.88,170,1,0,0,45.5,0.499444444,0.611111111,1.0555555559999998,0.25,4,5,36,0,1,0,4,5,3,0,13,1,175.26,182.88,155,28,30,1,1,1,-6,0,-5,4,-3,0,2.54,0.0,-2,-8.41666667,-0.27777777800000003,-0.472222223,0,325.0,425.0,1010.0,375.0,285.0,280.0
