,R_odds,B_odds,R_ev,B_ev,Winner,title_bout,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
3065,135.0,-155,135.0,64.51612903,1,False,3,0,3,0,46.375,0.47875,0.125,0.625,0.1875,3,3,20,0,0,1,2,2,0,0,5,0,187.96,190.5,170,0,2,0,52.0,0.51,0.0,1.5,0.32,2,0,5,0,0,0,1,1,0,0,2,0,182.88,185.42,170,34,31,0,1,1,3,-3,15,0,1,0,5.08,5.08,3,-5.625,0.125,-0.875,2,245.0,177.0,1450.0,874.0,650.0,320.0
3070,190.0,-230,190.0,43.47826087,0,False,3,1,0,0,13.0,0.41,0.0,2.0,0.5,0,1,2,1,0,0,0,0,0,0,0,1,185.42,180.34,170,1,0,0,21.0,0.25,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,0,182.88,185.42,170,26,30,0,0,0,0,0,-1,1,0,0,2.54,-5.08,-4,-8.0,0.0,2.0,2,475.0,255.0,900.0,300.0,400.0,450.0
3072,150.0,-170,150.0,58.82352941,1,False,3,1,0,0,33.0,0.54,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,1,182.88,187.96,170,2,0,0,31.0,0.336,0.5,0.6,0.11699999999999999,4,5,22,0,0,1,1,1,2,0,5,0,190.5,187.96,170,33,23,1,0,-4,-5,4,-19,0,-1,-2,-7.62,0.0,10,2.0,-0.5,-0.6,2,469.0,321.0,445.0,1575.0,678.0,145.0
3091,-460.0,365,21.73913043,365.0,0,False,3,4,0,0,17.66666667,0.391666667,0.291666667,1.6666666669999999,0.467083333,5,9,51,1,0,1,5,6,3,0,15,0,177.8,185.42,170,0,1,0,12.66666667,0.604444444,0.7777777779999999,0.333333333,0.18444444399999999,1,4,14,0,0,0,0,2,3,0,5,0,182.88,187.96,170,30,37,-4,-1,4,10,-5,37,1,4,0,-5.08,-2.54,-7,5.0,-0.48611111100000004,1.333333334,2,480.0,625.0,175.0,1250.0,140.0,1000.0
3103,-380.0,340,26.31578947,340.0,0,False,3,1,0,0,37.55555556,0.573888889,1.222222222,1.222222222,0.428333333,7,6,42,0,0,0,2,9,1,0,12,0,182.88,190.5,170,1,0,0,47.57142857,0.547857143,0.428571429,3.214285714,0.302857143,6,3,39,3,1,2,3,5,0,0,11,1,175.26,175.26,185,31,34,0,0,1,1,-3,3,-3,4,1,7.62,15.24,-3,-10.01587301,0.793650793,-1.992063492,0,-115.0,550.0,1400.0,1550.0,250.0,750.0
3115,-140.0,130,71.42857143,130.0,0,False,3,3,0,0,18.13043478,0.401304348,0.304347826,1.6956521740000001,0.480434783,5,8,49,1,0,1,5,6,3,0,15,0,177.8,185.42,170,3,0,0,23.15384615,0.41384615399999997,0.23076923100000002,1.692307692,0.523076923,6,5,29,0,0,1,2,4,0,1,8,0,175.26,180.34,170,29,37,0,0,-1,7,-3,20,1,1,3,2.54,5.08,-8,-5.02341137,0.073578595,0.003344482,0,275.0,360.0,1000.0,800.0,160.0,700.0
3116,-250.0,230,40.0,230.0,0,False,3,1,0,0,65.0,0.57,0.0,2.5,0.275,1,1,6,0,0,0,1,0,0,0,1,0,182.88,185.42,170,1,0,0,52.0,0.54,0.0,0.0,0.0,1,1,4,0,0,0,0,1,0,0,1,1,182.88,185.42,170,33,26,0,0,0,0,0,2,0,-1,0,0.0,0.0,7,13.0,0.0,2.5,2,145.0,500.0,950.0,1400.0,145.0,700.0
3119,150.0,-160,150.0,62.5,1,False,3,0,2,0,49.71428571,0.47,0.14285714300000002,0.7142857140000001,0.214285714,2,3,19,0,0,1,2,1,0,0,4,0,187.96,190.5,170,0,1,0,37.5,0.505,2.0,3.0,0.375,1,1,4,1,0,0,1,0,0,0,1,0,187.96,187.96,170,26,31,0,1,1,3,-2,15,-1,1,0,0.0,2.54,-5,12.21428571,-1.857142857,-2.285714286,2,260.0,201.0,628.0,1245.0,640.0,275.0
3128,185.0,-200,185.0,50.0,0,False,3,0,2,0,34.0,0.43,0.5,1.0,0.415,2,0,4,0,0,1,0,0,1,0,2,0,185.42,193.04,170,0,1,0,17.5,0.34,0.0,0.0,0.0,1,1,4,0,0,0,0,1,0,0,1,0,182.88,185.42,170,28,23,0,1,1,1,1,0,0,-1,1,2.54,7.62,5,16.5,0.5,1.0,2,422.0,190.0,1000.0,365.0,460.0,425.0
3134,155.0,-165,155.0,60.60606061,0,False,5,0,2,0,14.5,0.535,0.0,0.5,0.5,2,0,2,0,0,0,0,2,0,0,2,2,187.96,187.96,170,2,0,0,56.91666667,0.46333333299999996,0.75,2.166666667,0.418333333,7,3,43,5,0,3,5,0,1,0,9,1,175.26,177.8,170,31,29,2,2,-5,-7,3,-41,-5,2,-1,12.7,10.16,2,-42.41666667,-0.75,-1.6666666669999999,2,266.0,580.0,594.0,1000.0,1400.0,109.0
