,R_odds,B_odds,R_ev,B_ev,Winner,title_bout,weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
3849,350.0,-440,350.0,22.72727273,1,False,6,3,0,1,0,47.0,0.55,0.0,0.0,0.0,1,0,3,0,1,0,0,0,0,0,1,1,190.5,203.2,205,0,1,0,19.0,0.7,0.0,1.0,1.0,1,0,1,0,0,0,0,1,0,0,1,0,190.5,187.96,205,32,30,0,0,0,0,0,2,0,-1,0,0.0,15.24,2,28.0,0.0,-1.0,2,840.0,333.0,545.0,612.0,880.0,-105.0
3851,-875.0,685,11.42857143,685.0,0,True,2,5,0,3,0,36.66666667,0.46,1.333333333,1.6666666669999999,0.5,3,0,7,0,0,0,0,1,2,0,3,0,170.18,182.88,145,0,4,0,58.0,0.41,0.25,1.25,0.1375,4,0,16,4,0,0,3,1,0,0,4,0,170.18,177.8,145,26,26,0,-1,-1,-1,0,-9,-4,0,2,0.0,5.08,0,-21.33333333,1.083333333,0.41666666700000005,0,325.0,1300.0,625.0,1100.0,-240.0,1150.0
3852,-325.0,295,30.76923077,295.0,1,False,6,3,0,2,0,39.88888889,0.464444444,0.666666667,2.222222222,0.456666667,5,2,23,0,0,0,4,0,3,0,7,0,187.96,200.66,205,0,2,0,33.28571429,0.570714286,0.571428571,0.9285714290000001,0.403571429,8,3,35,4,0,1,5,4,1,0,11,1,185.42,187.96,185,35,28,0,0,-3,-4,1,-12,-4,-4,2,2.54,12.7,7,6.6031746,0.095238096,1.293650793,0,-110.0,375.0,1100.0,1100.0,200.0,1500.0
3854,-160.0,150,62.5,150.0,0,False,5,3,0,1,0,60.5,0.525,0.0,0.0,0.0,1,1,5,0,0,0,0,1,0,0,1,0,185.42,185.42,185,2,0,0,20.375,0.3425,1.25,1.875,0.345,5,3,20,1,0,1,1,0,3,0,5,0,185.42,198.12,185,31,31,2,1,-4,-4,2,-15,-1,1,-3,0.0,-12.7,0,40.125,-1.25,-1.875,2,225.0,280.0,200.0,1300.0,1500.0,275.0
3856,-500.0,435,20.0,435.0,1,False,6,3,1,0,0,16.28571429,0.398571429,0.571428571,1.142857143,0.192857143,3,4,11,0,0,0,0,1,2,0,3,0,190.5,190.5,205,1,0,0,20.5,0.3475,0.5,1.0,0.33,1,3,9,1,0,0,0,0,1,0,1,0,190.5,200.66,205,29,40,0,0,2,2,-1,2,-1,1,1,0.0,-10.16,-11,-4.21428571,0.071428571,0.14285714300000002,2,240.0,500.0,130.0,1700.0,315.0,900.0
3858,-161.0,151,62.11180124,151.0,0,False,4,3,0,1,0,65.0,0.54,0.0,4.0,0.8,1,0,3,0,0,0,1,0,0,0,1,0,190.5,203.2,170,0,1,0,27.0,0.435,0.5,2.0,0.18,1,1,6,1,0,0,0,0,1,0,1,0,182.88,182.88,170,31,26,0,0,0,0,1,-3,-1,0,-1,7.62,20.32,5,38.0,-0.5,2.0,2,289.0,275.0,200.0,1750.0,750.0,506.0
3859,-455.0,405,21.97802198,405.0,0,False,0,3,1,0,0,3.0,0.3,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,165.1,167.64,125,3,0,0,52.66666667,0.4,0.0,2.0,0.26,0,3,9,0,0,0,0,0,0,0,0,0,165.1,162.56,125,29,32,2,0,0,0,2,-8,0,0,0,0.0,5.08,-3,-49.66666667,0.0,-2.0,0,-130.0,500.0,550.0,1650.0,328.0,1100.0
3860,-1000.0,800,10.0,800.0,0,False,2,3,1,0,0,43.0,0.69,0.0,4.0,0.66,0,1,3,0,0,0,0,0,0,0,0,0,167.64,172.72,145,0,2,0,17.75,0.405,1.0,2.25,0.295,2,1,10,0,0,0,2,0,1,0,3,0,167.64,170.18,135,28,32,-1,-2,-2,-3,0,-7,0,0,-1,0.0,2.54,-4,25.25,-1.0,1.75,2,329.0,1500.0,-300.0,2800.0,1050.0,1257.0
3863,-420.0,375,23.80952381,375.0,0,True,0,5,0,2,0,30.0,0.44,0.5,1.0,0.5,2,0,4,0,0,0,0,1,1,0,2,0,167.64,167.64,125,0,3,0,69.0,0.481428571,0.0,4.0,0.41428571399999997,3,2,27,3,0,1,4,0,0,0,5,0,160.02,167.64,125,26,29,0,-1,-1,-3,2,-23,-3,1,1,7.62,0.0,-3,-39.0,0.5,-3.0,0,-180.0,950.0,625.0,850.0,475.0,800.0
3865,-345.0,315,28.98550725,315.0,0,False,4,3,1,0,0,83.0,0.47,0.0,4.0,0.8,0,1,3,0,0,0,0,0,0,0,0,0,182.88,190.5,170,0,1,0,21.25,0.43375,0.0,1.625,0.5625,3,3,15,0,0,0,2,3,0,0,5,1,180.34,187.96,170,31,34,-1,-1,-3,-5,2,-12,0,-3,0,2.54,2.54,-3,61.75,0.0,2.375,0,260.0,425.0,1700.0,1150.0,-115.0,675.0
